ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,ont,comparison,symbols
GO:0065009,regulation of molecular function,314,0.3916255457925497,1.3628958046683761,0.002,0.22873366188129418,0.21539814825256842,242,"tags=49%, list=40%, signal=61%",2353/9314/3725/3479/10252/80310/4616/4804/1647/6424/3953/9021/4088/1844/1969/8835/51776/3303/781/3082/4255/2810/3486/1026/324/3280/5008/3397/5567/9020/130399/55294/8555/5292/7048/4792/6423/4846/8325/5604/2247/2252/8061/1032/182/894/650/3315/9252/3087/2690/7480/652/5468/2776/4609/3306/10014/4915/25/7128/783/10156/5295/25759/6300/8900/2255/5516/4242/92/785/5579/10253/10235/5605/7060/2260/1028/6794/10637/654/5159/8850/4087/4331/6598/7040/4869/1946/1847/64324/27040/1027/3265/7043/4233/5566/10891/1540/2261/83464/1236/673/5728/2788/10111/51176/3845/8517/9088/23409/5595/867/2264/1031/9610/1649/3625/595/7314/3570/572/6774/10912/2071/3976/3556/7786/10459/208/6422/1848/23236/5602/9759/6608/5577/2263/1956/4089/25942/6464/23533/8797/3690/5296/843/7042/367/84433/6233/6929,bp,NACstatus,FOS/KLF4/JUN/IGF1/SPRY1/PDGFD/GADD45B/NGFR/GADD45A/SFRP4/LEPR/SOCS3/SMAD3/DUSP2/EPHA2/SOCS2/MAP3K20/HSPA1A/CACNA2D1/HGF/MGMT/SFN/IGFBP3/CDKN1A/APC/HES1/OSM/ID1/PRKACB/MAP3K14/ACVR1C/FBXW7/CDC14B/PIM1/TGFBR2/NFKBIA/SFRP2/NOS3/FZD8/MAP2K1/FGF2/FGF7/FOSL1/CDKN2D/JAG1/CCND2/BMP2/HSPB1/RPS6KA5/HHEX/GHR/WNT10B/BMP4/PPARG/GNAQ/MYC/HSPA2/HDAC5/NTRK2/ABL1/TNFAIP3/CACNB2/RASA4/PIK3R1/SHC2/MAPK12/CCNA1/FGF10/PPP2CB/MFNG/ACVR2A/CACNB4/PRKCB/SPRY2/RASGRP2/MAP2K2/THBS4/FGFR1/CDKN1C/STK11/LEFTY1/BMP6/PDGFRB/KAT2B/SMAD2/MNAT1/SMARCB1//NPM1/EFNA5/DUSP5/NSD1/LAT/CDKN1B/HRAS/TGFB3/MET/PRKACA/PPARGC1A/CYLD/FGFR3/APH1B/CCR7/BRAF/PTEN/GNG7/RAD50/LEF1/KRAS/IKBKG/PKMYT1/SIRT4/MAPK3/CBL/FGFR4/CDKN2C/RIN1/DDIT3/INHBB/CCND1/UBB/IL6R/BAD/STAT3/GADD45G/ERCC3/LIF/IL1RAP/MAP3K12/MAD2L2/AKT2/SFRP1/DUSP6/PLCB1/MAPK10/HDAC4/SMO/PRKAR2B/FGFR2/EGFR/SMAD4/SIN3A/SHC1/PIK3R5/TNFRSF10A/ITGB3/PIK3R2/CASP10/TGFB2/AR/CARD11/RPS27A/TCF3
GO:0072359,circulatory system development,165,0.45504668878199317,1.575505346694857,0.0020242914979757085,0.22873366188129418,0.21539814825256842,145,"tags=37%, list=24%, signal=39%",9314/3164/3725/3479/10252/80310/4804/3953/9021/4088/1969/3082/64321/1277/1278/1281/3280/3397/55294/5292/7048/1286/6423/4846/8325/5604/2247/8061/54567/182/650/29072/3315/3087/652/5468/10000/10014/4915/3716/25/7128/2255/5579/10253/90993/7060/2260/6794/10637/5578/5159/2767/4780/284217/8850/4087/4854/5532/4331/7040,bp,NACstatus,KLF4/NR4A1/JUN/IGF1/SPRY1/PDGFD/NGFR/LEPR/SOCS3/SMAD3/EPHA2/HGF/SOX17/COL1A1/COL1A2/COL3A1/HES1/ID1/FBXW7/PIM1/TGFBR2/COL4A4/SFRP2/NOS3/FZD8/MAP2K1/FGF2/FOSL1/DLL4/JAG1/BMP2/SETD2/HSPB1/HHEX/BMP4/PPARG/AKT3/HDAC5/NTRK2/JAK1/ABL1/TNFAIP3/FGF10/PRKCB/SPRY2/CREB3L1/THBS4/FGFR1/STK11/LEFTY1/PRKCA/PDGFRB/GNA11/NFE2L2/LAMA1/KAT2B/SMAD2/NOTCH3/PPP3CB/MNAT1/
GO:0007167,enzyme linked receptor protein signaling pathway,157,0.44318976286222256,1.5292874314710145,0.002036659877800407,0.22873366188129418,0.21539814825256842,133,"tags=32%, list=22%, signal=34%",2353/3725/3479/10252/3977/80310/4804/6424/9021/4088/1969/8835/3303/3082/4093/1277/1278/8516/3486/1281/324/3280/3397/130399/55294/7048/6423/2247/2252/650/3315/9252/3087/2690/652/4915/25/5295/25759/2255/92/5579/10253/90993/2260/1028/6794/10637/5578/654/5159,bp,NACstatus,FOS/JUN/IGF1/SPRY1/LIFR/PDGFD/NGFR/SFRP4/SOCS3/SMAD3/EPHA2/SOCS2/HSPA1A/HGF/SMAD9/COL1A1/COL1A2/ITGA8/IGFBP3/COL3A1/APC/HES1/ID1/ACVR1C/FBXW7/TGFBR2/SFRP2/FGF2/FGF7/BMP2/HSPB1/RPS6KA5/HHEX/GHR/BMP4/NTRK2/ABL1/PIK3R1/SHC2/FGF10/ACVR2A/PRKCB/SPRY2/CREB3L1/FGFR1/CDKN1C/STK11/LEFTY1/PRKCA/BMP6/PDGFRB
GO:0070848,response to growth factor,122,0.4889552931042831,1.6408109799420223,0.002066115702479339,0.22873366188129418,0.21539814825256842,139,"tags=38%, list=23%, signal=36%",2353/9314/3164/3725/10252/80310/4804/6424/4088/1969/3303/3082/4093/1277/1278/8516/1281/3280/3397/2619/130399/7048/6423/2247/2252/54567/650/3315/3087/652/4609/4915/25/2255/92/5579/10253/90993/2260/1028/6794/10637/654/5159/4087/4176,bp,NACstatus,FOS/KLF4/NR4A1/JUN/SPRY1/PDGFD/NGFR/SFRP4/SMAD3/EPHA2/HSPA1A/HGF/SMAD9/COL1A1/COL1A2/ITGA8/COL3A1/HES1/ID1/GAS1/ACVR1C/TGFBR2/SFRP2/FGF2/FGF7/DLL4/BMP2/HSPB1/HHEX/BMP4/MYC/NTRK2/ABL1/FGF10/ACVR2A/PRKCB/SPRY2/CREB3L1/FGFR1/CDKN1C/STK11/LEFTY1/BMP6/PDGFRB/SMAD2/MCM7
GO:0072358,cardiovascular system development,122,0.4789854679479737,1.6073547543621394,0.002066115702479339,0.22873366188129418,0.21539814825256842,145,"tags=42%, list=24%, signal=40%",9314/3164/3725/80310/4804/3953/9021/1969/3082/64321/1277/1278/1281/3280/3397/55294/7048/1286/6423/4846/8325/5604/2247/8061/54567/182/29072/3315/3087/652/5468/10000/10014/4915/3716/25/7128/2255/5579/10253/90993/7060/2260/6794/5578/5159/4780/284217/4854/5532/7040,bp,NACstatus,KLF4/NR4A1/JUN/PDGFD/NGFR/LEPR/SOCS3/EPHA2/HGF/SOX17/COL1A1/COL1A2/COL3A1/HES1/ID1/FBXW7/TGFBR2/COL4A4/SFRP2/NOS3/FZD8/MAP2K1/FGF2/FOSL1/DLL4/JAG1/SETD2/HSPB1/HHEX/BMP4/PPARG/AKT3/HDAC5/NTRK2/JAK1/ABL1/TNFAIP3/FGF10/PRKCB/SPRY2/CREB3L1/THBS4/FGFR1/STK11/PRKCA/PDGFRB/NFE2L2/LAMA1/NOTCH3/PPP3CB/
GO:0001944,vasculature development,121,0.4807174081058745,1.6096895300487697,0.002070393374741201,0.22873366188129418,0.21539814825256842,145,"tags=42%, list=24%, signal=40%",9314/3164/3725/80310/4804/3953/9021/1969/3082/64321/1277/1278/1281/3280/3397/55294/7048/1286/6423/4846/8325/5604/2247/8061/54567/182/29072/3315/3087/652/5468/10000/10014/4915/3716/25/7128/2255/5579/10253/90993/7060/2260/6794/5578/5159/4780/284217/4854/5532/7040,bp,NACstatus,KLF4/NR4A1/JUN/PDGFD/NGFR/LEPR/SOCS3/EPHA2/HGF/SOX17/COL1A1/COL1A2/COL3A1/HES1/ID1/FBXW7/TGFBR2/COL4A4/SFRP2/NOS3/FZD8/MAP2K1/FGF2/FOSL1/DLL4/JAG1/SETD2/HSPB1/HHEX/BMP4/PPARG/AKT3/HDAC5/NTRK2/JAK1/ABL1/TNFAIP3/FGF10/PRKCB/SPRY2/CREB3L1/THBS4/FGFR1/STK11/PRKCA/PDGFRB/NFE2L2/LAMA1/NOTCH3/PPP3CB/
GO:0071363,cellular response to growth factor stimulus,116,0.4868833832865369,1.6267296087854959,0.002070393374741201,0.22873366188129418,0.21539814825256842,139,"tags=38%, list=23%, signal=36%",2353/9314/3164/3725/10252/80310/4804/6424/4088/3303/3082/4093/1277/1278/8516/1281/3280/3397/2619/130399/7048/6423/2247/2252/54567/650/3315/3087/652/4915/25/2255/92/5579/10253/90993/2260/1028/6794/10637/654/5159/4087/4176,bp,NACstatus,FOS/KLF4/NR4A1/JUN/SPRY1/PDGFD/NGFR/SFRP4/SMAD3/HSPA1A/HGF/SMAD9/COL1A1/COL1A2/ITGA8/COL3A1/HES1/ID1/GAS1/ACVR1C/TGFBR2/SFRP2/FGF2/FGF7/DLL4/BMP2/HSPB1/HHEX/BMP4/NTRK2/ABL1/FGF10/ACVR2A/PRKCB/SPRY2/CREB3L1/FGFR1/CDKN1C/STK11/LEFTY1/BMP6/PDGFRB/SMAD2/MCM7
GO:0001568,blood vessel development,115,0.48539261903019326,1.6167502397806344,0.002079002079002079,0.22873366188129418,0.21539814825256842,140,"tags=42%, list=23%, signal=40%",9314/3164/3725/80310/4804/3953/9021/1969/3082/64321/1277/1278/1281/3280/3397/55294/7048/1286/6423/4846/8325/5604/2247/8061/54567/182/29072/3315/3087/652/5468/10000/10014/4915/3716/25/7128/2255/5579/10253/90993/7060/2260/5578/5159/4780/284217/4854,bp,NACstatus,KLF4/NR4A1/JUN/PDGFD/NGFR/LEPR/SOCS3/EPHA2/HGF/SOX17/COL1A1/COL1A2/COL3A1/HES1/ID1/FBXW7/TGFBR2/COL4A4/SFRP2/NOS3/FZD8/MAP2K1/FGF2/FOSL1/DLL4/JAG1/SETD2/HSPB1/HHEX/BMP4/PPARG/AKT3/HDAC5/NTRK2/JAK1/ABL1/TNFAIP3/FGF10/PRKCB/SPRY2/CREB3L1/THBS4/FGFR1/PRKCA/PDGFRB/NFE2L2/LAMA1/NOTCH3
GO:0001525,angiogenesis,86,0.4814093107824766,1.5757791943467971,0.002136752136752137,0.22873366188129418,0.21539814825256842,140,"tags=44%, list=23%, signal=40%",9314/3164/3725/4804/3953/1969/3082/64321/3397/55294/7048/1286/6423/4846/8325/2247/54567/182/29072/3315/3087/652/5468/10000/10014/3716/25/7128/2255/5579/10253/90993/7060/2260/5578/5159/4780/4854,bp,NACstatus,KLF4/NR4A1/JUN/NGFR/LEPR/EPHA2/HGF/SOX17/ID1/FBXW7/TGFBR2/COL4A4/SFRP2/NOS3/FZD8/FGF2/DLL4/JAG1/SETD2/HSPB1/HHEX/BMP4/PPARG/AKT3/HDAC5/JAK1/ABL1/TNFAIP3/FGF10/PRKCB/SPRY2/CREB3L1/THBS4/FGFR1/PRKCA/PDGFRB/NFE2L2/NOTCH3
GO:0043086,negative regulation of catalytic activity,77,0.49501558063176554,1.6115435695278955,0.002150537634408602,0.22873366188129418,0.21539814825256842,155,"tags=40%, list=26%, signal=34%",9314/10252/4616/4804/1647/3953/9021/1844/3082/2810/1026/324/6423/4846/1032/3315/3087/652/5468/2776/25/7128/10156/10253/1028/8850/4331/4869/1847/1027/3265,bp,NACstatus,KLF4/SPRY1/GADD45B/NGFR/GADD45A/LEPR/SOCS3/DUSP2/HGF/SFN/CDKN1A/APC/SFRP2/NOS3/CDKN2D/HSPB1/HHEX/BMP4/PPARG/GNAQ/ABL1/TNFAIP3/RASA4/SPRY2/CDKN1C/KAT2B/MNAT1/NPM1/DUSP5/CDKN1B/HRAS
